codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,total_recomendacoes,ocorrencia_dia_hora,regiao
79148,79148,INCIDENTE,CUIABÁ,MT,SBCY,0,2020-01-22 17:40:00,CENTRO
79149,79149,INCIDENTE,FORTALEZA,CE,SBFZ,0,2020-01-22 17:10:00,NORTEDESTE
79153,79153,INCIDENTE,CAMPINAS,SP,NA,0,2020-01-22 03:24:00,SUDESTE
79154,79154,INCIDENTE,CAMPINAS,SP,NA,0,2020-01-23 14:00:00,SUDESTE
79155,79155,INCIDENTE GRAVE,BALSAS,MA,NA,0,2020-01-24 13:30:00,NORTEDESTE
79156,79156,INCIDENTE,SOROCABA,SP,NA,0,2020-01-24 16:27:00,SUDESTE
79157,79157,INCIDENTE,NAVEGANTES,SC,SBNF,0,2020-01-24 16:57:00,SUL
79124,79124,ACIDENTE,LEME,SP,SDLL,1,2020-01-25 17:00:00,SUDESTE
79126,79126,ACIDENTE,LEME,SP,SDLL,0,2020-01-25 18:00:00,SUDESTE
79158,79158,INCIDENTE,UBERLÂNDIA,MG,SBUL,0,2020-01-25 18:28:00,SUDESTE
79268,79268,INCIDENTE,SÃO PAULO,SP,NA,0,2020-01-26 19:08:00,SUDESTE
79160,79160,INCIDENTE,NAVEGANTES,SC,SBNF,0,2020-01-27 18:18:00,SUL
79161,79161,INCIDENTE,CAMPINAS,SP,NA,0,2020-01-27 02:21:00,SUDESTE
79097,79097,ACIDENTE,SERRANÓPOLIS,GO,NA,1,2020-01-28 10:30:00,CENTRO
79162,79162,INCIDENTE,CAMPINAS,SP,NA,0,2020-01-28 17:00:00,SUDESTE
79164,79164,INCIDENTE,MANAUS,AM,SBEG,0,2020-01-28 19:42:00,NORTE
79165,79165,INCIDENTE,GUARULHOS,SP,NA,0,2020-01-28 15:40:00,SUDESTE
79101,79101,INCIDENTE,SÃO FÉLIX DO ARAGUAIA,MT,SWFX,0,2020-01-29 16:55:00,CENTRO
79166,79166,INCIDENTE,CAMPINAS,SP,NA,0,2020-01-29 19:02:00,SUDESTE
79708,79708,INCIDENTE,BELO HORIZONTE,MG,SBCF,0,2020-01-29 11:50:00,SUDESTE
79096,79096,INCIDENTE,GOIÂNIA,GO,SBNV,0,2020-01-30 13:00:00,CENTRO
79167,79167,INCIDENTE,LONDRINA,PR,SBLO,0,2020-01-31 18:30:00,SUL
